instance,clean_gate_type,trojan_gate_type,clean_nets,trojan_nets
DFF_1652_Q_reg,SDFFX1,SDFFX1,WX11156|WX11155|test_se|CK|WX11157,WX11156|WX11155_Tj_Payload|test_se_Trojan|CK|WX11157
DFF_1653_Q_reg,SDFFX1,SDFFX1,WX11158|WX11157|test_se|CK|WX11159,WX11158|WX11157|test_se_Trojan|CK|WX11159
DFF_1654_Q_reg,SDFFX1,SDFFX1,WX11160|WX11159|test_se|CK|WX11161,WX11160|WX11159|test_se_Trojan|CK|WX11161
DFF_1655_Q_reg,SDFFX1,SDFFX1,WX11162|WX11161|test_se|CK|WX11163,WX11162|WX11161|test_se_Trojan|CK|WX11163
DFF_1656_Q_reg,SDFFX1,SDFFX1,WX11164|WX11163|test_se|CK|WX11165,WX11164|WX11163|test_se_Trojan|CK|WX11165
DFF_1657_Q_reg,SDFFX1,SDFFX1,WX11166|WX11165|test_se|CK|WX11167,WX11166|WX11165|test_se_Trojan|CK|WX11167
DFF_1658_Q_reg,SDFFX1,SDFFX1,WX11168|WX11167|test_se|CK|WX11169,WX11168|WX11167|test_se_Trojan|CK|WX11169
DFF_1659_Q_reg,SDFFX1,SDFFX1,WX11170|WX11169|test_se|CK|test_so96,WX11170|WX11169|test_se_Trojan|CK|test_so96
INV_test_se,,INVX0,,test_se|test_se_NOT
Trojan1,,AND2X1,,WX742|WX7249|Tj_OUT1
Trojan1234_NOT,,NOR4X0,,Tj_OUT1|Tj_OUT1|Tj_OUT3|Tj_OUT4|Tj_OUT1234
Trojan2,,AND2X1,,WX5922|WX5960|Tj_OUT2
Trojan3,,AND2X1,,WX4697|WX9032|Tj_OUT3
Trojan4,,AND2X1,,WX8298|WX10846|Tj_OUT4
Trojan5,,AND2X1,,WX3340|WX6476|Tj_OUT5
Trojan5678_NOT,,NOR4X0,,Tj_OUT5|Tj_OUT6|Tj_OUT7|Tj_OUT8|Tj_OUT5678
Trojan6,,AND2X1,,WX9819|WX1813|Tj_OUT6
Trojan7,,AND2X1,,WX5710|WX3458|Tj_OUT7
Trojan8,,AND2X1,,WX9060|WX7749|Tj_OUT8
TrojanScanEnable,,DFFX2,,Tj_Trigger|Trojan_SE
Trojan_Payload1,,MUX21X1,,test_se|Trojan_SE|test_se_Trojan
Trojan_Payload2,,MUX21X1,,WX11155|WX3442|Trojan_SE|WX11155_Tj_Payload
Trojan_Trigger,,AND3X1,,Tj_OUT1234|Tj_OUT5678|test_se_NOT|Tj_Trigger
