gate_type,instance,nets
SDFFX1,DFF_0_Q_reg,WX484|test_si1|test_se|CK|WX485
SDFFX1,DFF_1_Q_reg,WX486|WX485|test_se|CK|WX487
SDFFX1,DFF_2_Q_reg,WX488|WX487|test_se|CK|WX489
SDFFX1,DFF_3_Q_reg,WX490|WX489|test_se|CK|WX491
SDFFX1,DFF_4_Q_reg,WX492|WX491|test_se|CK|WX493
SDFFX1,DFF_5_Q_reg,WX494|WX493|test_se|CK|WX495
SDFFX1,DFF_6_Q_reg,WX496|WX495|test_se|CK|WX497
SDFFX1,DFF_7_Q_reg,WX498|WX497|test_se|CK|WX499
SDFFX1,DFF_8_Q_reg,WX500|WX499|test_se|CK|WX501
SDFFX1,DFF_9_Q_reg,WX502|WX501|test_se|CK|WX503
SDFFX1,DFF_10_Q_reg,WX504|WX503|test_se|CK|WX505
SDFFX1,DFF_11_Q_reg,WX506|WX505|test_se|CK|WX507
SDFFX1,DFF_12_Q_reg,WX508|WX507|test_se|CK|WX509
SDFFX1,DFF_13_Q_reg,WX510|WX509|test_se|CK|WX511
SDFFX1,DFF_14_Q_reg,WX512|WX511|test_se|CK|WX513
SDFFX1,DFF_15_Q_reg,WX514|WX513|test_se|CK|WX515
SDFFX1,DFF_16_Q_reg,WX516|WX515|test_se|CK|WX517
SDFFX1,DFF_17_Q_reg,WX518|WX517|test_se|CK|test_so1
SDFFX1,DFF_18_Q_reg,WX520|test_si2|test_se|CK|WX521
SDFFX1,DFF_19_Q_reg,WX522|WX521|test_se|CK|WX523
SDFFX1,DFF_20_Q_reg,WX524|WX523|test_se|CK|WX525
SDFFX1,DFF_21_Q_reg,WX526|WX525|test_se|CK|WX527
SDFFX1,DFF_22_Q_reg,WX528|WX527|test_se|CK|WX529
SDFFX1,DFF_23_Q_reg,WX530|WX529|test_se|CK|WX531
SDFFX1,DFF_24_Q_reg,WX532|WX531|test_se|CK|WX533
SDFFX1,DFF_25_Q_reg,WX534|WX533|test_se|CK|WX535
SDFFX1,DFF_26_Q_reg,WX536|WX535|test_se|CK|WX537
SDFFX1,DFF_27_Q_reg,WX538|WX537|test_se|CK|WX539
SDFFX1,DFF_28_Q_reg,WX540|WX539|test_se|CK|WX541
SDFFX1,DFF_29_Q_reg,WX542|WX541|test_se|CK|WX543
SDFFX1,DFF_30_Q_reg,WX544|WX543|test_se|CK|WX545
SDFFX1,DFF_31_Q_reg,WX546|WX545|test_se|CK|WX547
SDFFX1,DFF_32_Q_reg,WX644|WX547|test_se|CK|WX645|n3529
SDFFX1,DFF_33_Q_reg,WX646|WX645|test_se|CK|WX647|n3527
SDFFX1,DFF_34_Q_reg,WX648|WX647|test_se|CK|WX649|n3525
SDFFX1,DFF_35_Q_reg,WX650|WX649|test_se|CK|test_so2|n3523
SDFFX1,DFF_36_Q_reg,WX652|test_si3|test_se|CK|WX653|n3521
SDFFX1,DFF_37_Q_reg,WX654|WX653|test_se|CK|WX655|n3519
SDFFX1,DFF_38_Q_reg,WX656|WX655|test_se|CK|WX657|n3517
SDFFX1,DFF_39_Q_reg,WX658|WX657|test_se|CK|WX659|n3515
SDFFX1,DFF_40_Q_reg,WX660|WX659|test_se|CK|WX661|n3513
SDFFX1,DFF_41_Q_reg,WX662|WX661|test_se|CK|WX663|n3511
SDFFX1,DFF_42_Q_reg,WX664|WX663|test_se|CK|WX665|n3509
SDFFX1,DFF_43_Q_reg,WX666|WX665|test_se|CK|WX667|n3507
SDFFX1,DFF_44_Q_reg,WX668|WX667|test_se|CK|WX669|n3505
SDFFX1,DFF_45_Q_reg,WX670|WX669|test_se|CK|WX671|n3503
SDFFX1,DFF_46_Q_reg,WX672|WX671|test_se|CK|WX673|n3501
SDFFX1,DFF_47_Q_reg,WX674|WX673|test_se|CK|WX675|n3499
SDFFX1,DFF_48_Q_reg,WX676|WX675|test_se|CK|WX677|n3497
SDFFX1,DFF_49_Q_reg,WX678|WX677|test_se|CK|WX679|n3495
SDFFX1,DFF_50_Q_reg,WX680|WX679|test_se|CK|WX681|n3493
SDFFX1,DFF_51_Q_reg,WX682|WX681|test_se|CK|WX683|n3491
SDFFX1,DFF_52_Q_reg,WX684|WX683|test_se|CK|WX685|n3489
