net,fanin,fanout,gate_count,num_gate_types,num_instances,y_any,design,trojan
WX484,2,2,3,3,3,0,s35932,T100
test_si1,0,1,1,1,1,0,s35932,T100
test_se,0,1728,1728,1,1728,1,s35932,T100
CK,0,1728,1728,1,1728,1,s35932,T100
WX485,4,4,5,4,5,0,s35932,T100
WX486,2,2,3,3,3,0,s35932,T100
WX487,4,3,4,3,4,0,s35932,T100
WX488,2,2,3,3,3,0,s35932,T100
WX489,4,3,4,3,4,0,s35932,T100
WX490,2,2,3,3,3,0,s35932,T100
WX491,4,3,4,3,4,0,s35932,T100
WX492,2,2,3,3,3,0,s35932,T100
WX493,4,3,4,3,4,0,s35932,T100
WX494,2,2,3,3,3,0,s35932,T100
WX495,4,3,4,3,4,0,s35932,T100
WX496,2,2,3,3,3,0,s35932,T100
WX497,4,3,4,3,4,0,s35932,T100
WX498,2,2,3,3,3,0,s35932,T100
WX499,4,3,4,3,4,0,s35932,T100
WX500,2,2,3,3,3,0,s35932,T100
WX501,4,3,4,3,4,0,s35932,T100
WX502,2,2,3,3,3,0,s35932,T100
WX503,4,3,4,3,4,0,s35932,T100
WX504,2,2,3,3,3,0,s35932,T100
WX505,4,3,4,3,4,0,s35932,T100
WX506,2,2,3,3,3,0,s35932,T100
WX507,4,3,4,3,4,0,s35932,T100
WX508,2,2,3,3,3,0,s35932,T100
WX509,4,3,4,3,4,0,s35932,T100
WX510,2,2,3,3,3,0,s35932,T100
WX511,4,3,4,3,4,0,s35932,T100
WX512,2,2,3,3,3,0,s35932,T100
WX513,4,3,4,3,4,0,s35932,T100
WX514,2,2,3,3,3,0,s35932,T100
WX515,4,3,4,3,4,0,s35932,T100
WX516,2,2,3,3,3,0,s35932,T100
WX517,4,3,4,3,4,0,s35932,T100
WX518,2,2,3,3,3,0,s35932,T100
test_so1,4,2,3,3,3,0,s35932,T100
WX520,2,2,3,3,3,0,s35932,T100
test_si2,0,1,1,1,1,0,s35932,T100
WX521,4,3,4,3,4,0,s35932,T100
WX522,2,2,3,3,3,0,s35932,T100
WX523,4,3,4,3,4,0,s35932,T100
WX524,2,2,3,3,3,0,s35932,T100
WX525,4,3,4,3,4,0,s35932,T100
WX526,2,2,3,3,3,0,s35932,T100
WX527,4,3,4,3,4,0,s35932,T100
WX528,2,2,3,3,3,0,s35932,T100
WX529,4,3,4,3,4,0,s35932,T100
WX530,2,2,3,3,3,0,s35932,T100
WX531,4,3,4,3,4,0,s35932,T100
WX532,2,2,3,3,3,0,s35932,T100
WX533,4,3,4,3,4,0,s35932,T100
WX534,2,2,3,3,3,0,s35932,T100
WX535,4,3,4,3,4,0,s35932,T100
WX536,2,2,3,3,3,0,s35932,T100
WX537,4,3,4,3,4,0,s35932,T100
WX538,2,2,3,3,3,0,s35932,T100
WX539,4,3,4,3,4,0,s35932,T100
WX540,2,2,3,3,3,0,s35932,T100
WX541,4,3,4,3,4,0,s35932,T100
WX542,2,2,3,3,3,0,s35932,T100
WX543,4,3,4,3,4,0,s35932,T100
WX544,2,2,3,3,3,0,s35932,T100
WX545,4,3,4,3,4,0,s35932,T100
WX546,2,1,2,2,2,0,s35932,T100
WX547,4,3,4,3,4,0,s35932,T100
WX644,5,1,2,2,2,0,s35932,T100
WX645,0,3,3,2,3,0,s35932,T100
n3529,5,1,2,2,2,0,s35932,T100
WX646,5,1,2,2,2,0,s35932,T100
