net,fanin,fanout,gate_count,num_gate_types,num_instances,role,label
WX484,2,2,3,3,3,benign_or_unconfirmed,0
test_si1,0,1,1,1,1,benign_or_unconfirmed,0
test_se,0,1728,1728,1,1728,victim_control,1
CK,0,1728,1728,1,1728,benign_or_unconfirmed,0
WX485,4,4,5,4,5,benign_or_unconfirmed,0
WX486,2,2,3,3,3,benign_or_unconfirmed,0
WX487,4,3,4,3,4,benign_or_unconfirmed,0
WX488,2,2,3,3,3,benign_or_unconfirmed,0
WX489,4,3,4,3,4,benign_or_unconfirmed,0
WX490,2,2,3,3,3,benign_or_unconfirmed,0
WX491,4,3,4,3,4,benign_or_unconfirmed,0
WX492,2,2,3,3,3,benign_or_unconfirmed,0
WX493,4,3,4,3,4,benign_or_unconfirmed,0
WX494,2,2,3,3,3,benign_or_unconfirmed,0
WX495,4,3,4,3,4,benign_or_unconfirmed,0
WX496,2,2,3,3,3,benign_or_unconfirmed,0
WX497,4,3,4,3,4,benign_or_unconfirmed,0
WX498,2,2,3,3,3,benign_or_unconfirmed,0
WX499,4,3,4,3,4,benign_or_unconfirmed,0
WX500,2,2,3,3,3,benign_or_unconfirmed,0
WX501,4,3,4,3,4,benign_or_unconfirmed,0
WX502,2,2,3,3,3,benign_or_unconfirmed,0
WX503,4,3,4,3,4,benign_or_unconfirmed,0
WX504,2,2,3,3,3,benign_or_unconfirmed,0
WX505,4,3,4,3,4,benign_or_unconfirmed,0
WX506,2,2,3,3,3,benign_or_unconfirmed,0
WX507,4,3,4,3,4,benign_or_unconfirmed,0
WX508,2,2,3,3,3,benign_or_unconfirmed,0
WX509,4,3,4,3,4,benign_or_unconfirmed,0
WX510,2,2,3,3,3,benign_or_unconfirmed,0
WX511,4,3,4,3,4,benign_or_unconfirmed,0
WX512,2,2,3,3,3,benign_or_unconfirmed,0
WX513,4,3,4,3,4,benign_or_unconfirmed,0
WX514,2,2,3,3,3,benign_or_unconfirmed,0
WX515,4,3,4,3,4,benign_or_unconfirmed,0
WX516,2,2,3,3,3,benign_or_unconfirmed,0
WX517,4,3,4,3,4,benign_or_unconfirmed,0
WX518,2,2,3,3,3,benign_or_unconfirmed,0
test_so1,4,2,3,3,3,benign_or_unconfirmed,0
WX520,2,2,3,3,3,benign_or_unconfirmed,0
test_si2,0,1,1,1,1,benign_or_unconfirmed,0
WX521,4,3,4,3,4,benign_or_unconfirmed,0
WX522,2,2,3,3,3,benign_or_unconfirmed,0
WX523,4,3,4,3,4,benign_or_unconfirmed,0
WX524,2,2,3,3,3,benign_or_unconfirmed,0
WX525,4,3,4,3,4,benign_or_unconfirmed,0
WX526,2,2,3,3,3,benign_or_unconfirmed,0
WX527,4,3,4,3,4,benign_or_unconfirmed,0
WX528,2,2,3,3,3,benign_or_unconfirmed,0
WX529,4,3,4,3,4,benign_or_unconfirmed,0
WX530,2,2,3,3,3,benign_or_unconfirmed,0
WX531,4,3,4,3,4,benign_or_unconfirmed,0
WX532,2,2,3,3,3,benign_or_unconfirmed,0
WX533,4,3,4,3,4,benign_or_unconfirmed,0
WX534,2,2,3,3,3,benign_or_unconfirmed,0
WX535,4,3,4,3,4,benign_or_unconfirmed,0
WX536,2,2,3,3,3,benign_or_unconfirmed,0
WX537,4,3,4,3,4,benign_or_unconfirmed,0
WX538,2,2,3,3,3,benign_or_unconfirmed,0
WX539,4,3,4,3,4,benign_or_unconfirmed,0
WX540,2,2,3,3,3,benign_or_unconfirmed,0
