net,role,label
WX484,benign_or_unconfirmed,0
test_si1,benign_or_unconfirmed,0
test_se,victim_control,1
CK,benign_or_unconfirmed,0
WX485,benign_or_unconfirmed,0
WX486,benign_or_unconfirmed,0
WX487,benign_or_unconfirmed,0
WX488,benign_or_unconfirmed,0
WX489,benign_or_unconfirmed,0
WX490,benign_or_unconfirmed,0
WX491,benign_or_unconfirmed,0
WX492,benign_or_unconfirmed,0
WX493,benign_or_unconfirmed,0
WX494,benign_or_unconfirmed,0
WX495,benign_or_unconfirmed,0
WX496,benign_or_unconfirmed,0
WX497,benign_or_unconfirmed,0
WX498,benign_or_unconfirmed,0
WX499,benign_or_unconfirmed,0
WX500,benign_or_unconfirmed,0
WX501,benign_or_unconfirmed,0
WX502,benign_or_unconfirmed,0
WX503,benign_or_unconfirmed,0
WX504,benign_or_unconfirmed,0
WX505,benign_or_unconfirmed,0
WX506,benign_or_unconfirmed,0
WX507,benign_or_unconfirmed,0
WX508,benign_or_unconfirmed,0
WX509,benign_or_unconfirmed,0
WX510,benign_or_unconfirmed,0
WX511,benign_or_unconfirmed,0
WX512,benign_or_unconfirmed,0
WX513,benign_or_unconfirmed,0
WX514,benign_or_unconfirmed,0
WX515,benign_or_unconfirmed,0
WX516,benign_or_unconfirmed,0
WX517,benign_or_unconfirmed,0
WX518,benign_or_unconfirmed,0
test_so1,benign_or_unconfirmed,0
WX520,benign_or_unconfirmed,0
test_si2,benign_or_unconfirmed,0
WX521,benign_or_unconfirmed,0
WX522,benign_or_unconfirmed,0
WX523,benign_or_unconfirmed,0
WX524,benign_or_unconfirmed,0
WX525,benign_or_unconfirmed,0
WX526,benign_or_unconfirmed,0
WX527,benign_or_unconfirmed,0
WX528,benign_or_unconfirmed,0
WX529,benign_or_unconfirmed,0
WX530,benign_or_unconfirmed,0
WX531,benign_or_unconfirmed,0
WX532,benign_or_unconfirmed,0
WX533,benign_or_unconfirmed,0
WX534,benign_or_unconfirmed,0
WX535,benign_or_unconfirmed,0
WX536,benign_or_unconfirmed,0
WX537,benign_or_unconfirmed,0
WX538,benign_or_unconfirmed,0
WX539,benign_or_unconfirmed,0
WX540,benign_or_unconfirmed,0
WX541,benign_or_unconfirmed,0
WX542,benign_or_unconfirmed,0
WX543,benign_or_unconfirmed,0
WX544,benign_or_unconfirmed,0
WX545,benign_or_unconfirmed,0
WX546,benign_or_unconfirmed,0
WX547,benign_or_unconfirmed,0
WX644,benign_or_unconfirmed,0
WX645,benign_or_unconfirmed,0
n3529,benign_or_unconfirmed,0
WX646,benign_or_unconfirmed,0
WX647,benign_or_unconfirmed,0
n3527,benign_or_unconfirmed,0
WX648,benign_or_unconfirmed,0
WX649,benign_or_unconfirmed,0
n3525,benign_or_unconfirmed,0
WX650,benign_or_unconfirmed,0
test_so2,benign_or_unconfirmed,0
n3523,benign_or_unconfirmed,0
WX652,benign_or_unconfirmed,0
test_si3,benign_or_unconfirmed,0
WX653,benign_or_unconfirmed,0
n3521,benign_or_unconfirmed,0
WX654,benign_or_unconfirmed,0
WX655,benign_or_unconfirmed,0
n3519,benign_or_unconfirmed,0
WX656,benign_or_unconfirmed,0
WX657,benign_or_unconfirmed,0
n3517,benign_or_unconfirmed,0
WX658,benign_or_unconfirmed,0
WX659,benign_or_unconfirmed,0
n3515,benign_or_unconfirmed,0
WX660,benign_or_unconfirmed,0
WX661,benign_or_unconfirmed,0
n3513,benign_or_unconfirmed,0
WX662,benign_or_unconfirmed,0
WX663,benign_or_unconfirmed,0
n3511,benign_or_unconfirmed,0
WX664,benign_or_unconfirmed,0
WX665,benign_or_unconfirmed,0
n3509,benign_or_unconfirmed,0
WX666,benign_or_unconfirmed,0
WX667,benign_or_unconfirmed,0
n3507,benign_or_unconfirmed,0
WX668,benign_or_unconfirmed,0
WX669,benign_or_unconfirmed,0
n3505,benign_or_unconfirmed,0
WX670,benign_or_unconfirmed,0
WX671,benign_or_unconfirmed,0
n3503,benign_or_unconfirmed,0
WX672,benign_or_unconfirmed,0
WX673,benign_or_unconfirmed,0
n3501,benign_or_unconfirmed,0
WX674,benign_or_unconfirmed,0
WX675,benign_or_unconfirmed,0
n3499,benign_or_unconfirmed,0
WX676,benign_or_unconfirmed,0
WX677,benign_or_unconfirmed,0
n3497,benign_or_unconfirmed,0
WX678,benign_or_unconfirmed,0
WX679,benign_or_unconfirmed,0
n3495,benign_or_unconfirmed,0
